"","X","Lokacija.","Ukupan.broj.soba.","Cijena.","Površina.","Godina.izgradnje.","Spavaće.sobe.","Kupaonice."
"1155","http://www.remax-svijetnekretnina.com/stan/baderna-moderan-obiteljski-stan-s-dvije-spavace-sobe-i-savrsenim-razmjestajem","Baderna, Poreč",3,89500,55,2007,2,1
"1174","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-stan-500m-od-mora3","Medulin",2,115740,51.44,2018,1,1
"1177","http://www.remax-svijetnekretnina.com/stan/istramedulinnivi-stan-500m-od-mora","Medulin",2,116100,51.6,2018,1,1
"1178","http://www.remax-svijetnekretnina.com/stan/cervar-stan-prvi-red-do-mora","Červar-Porat, Poreč",3,140000,65,1980,1,1
"1179","http://www.remax-svijetnekretnina.com/stan/istramedulin-novi-stan-500m-od-mora1","Medulin",2,97440,43.31,2018,1,1
"1182","http://www.remax-svijetnekretnina.com/stan/porec-stan-novogradnja-200m-od-mora","Poreč",2,160000,45,2018,1,1
"1183","http://www.remax-svijetnekretnina.com/stan/porec-stan-u-centru-novogradnja","Poreč",3,249000,86,2018,2,1
"1186","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-stan-500m-od-mora2","Medulin",2,117990,52.44,2018,1,1
"1188","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-stan-500m-od-mora1","Medulin",2,104280,46.35,2018,1,1
"1190","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-stan-500m-od-mora","Medulin",2,100530,44.68,1918,1,1
"1193","http://www.remax-svijetnekretnina.com/stan/istramedulin-novi-stan-500m-od-mora","Medulin",2,124580,55.37,2018,1,1
"1195","http://www.remax-svijetnekretnina.com/stan/porec-sira-okolica-obiteljski-stan-s-vrtom-na-mirnoj-lokaciji","Žbandaj, Poreč",3,125000,68,1997,1,1
"1208","http://www.remax-svijetnekretnina.com/stan/novigrad-moderan-stan-na-top-poziciji-uz-more","Novigrad",3,330000,55.27,2013,2,1
"1209","http://www.remax-svijetnekretnina.com/stan/istra-fazana-stinjan-penthouse-sa-predivnim-pogledom-na-more","Štinjan, Pula",4,280000,115.21,2009,3,2
"1211","http://www.remax-svijetnekretnina.com/stan/porec-veliki-obiteljski-stan-s-3-spavace-sobe-i-pogledom-na-more","Poreč",4,220000,99,2005,3,1
"1214","http://www.remax-svijetnekretnina.com/stan/porec-okolica-stan-s-predivnim-pogledom-na-more","Poreč",3,113000,88,2012,2,1
"1215","http://www.remax-svijetnekretnina.com/stan/medulin-dvosoban-stan-u-prizemlju-kuce","Banjole, Medulin",3,82000,54.65,2011,2,1
"1216","http://www.remax-svijetnekretnina.com/stan/stan-u-privatnoj-kuci-u-centru-medulina","Medulin",3,79800,53.14,2011,2,1
"1220","http://www.remax-svijetnekretnina.com/stan/porec-okolica-osuncan-stan-s-dvije-spavace-sobe","Poreč",3,88000,50,2012,2,1
"1231","http://www.remax-svijetnekretnina.com/stan/umag-stan-sa-vrtom-na-dobroj-lokaciji","Umag",4,260000,116.4,1972,3,1
"1260","http://www.remax-svijetnekretnina.com/stan/istra-pula-dvosoban-stan-na-1-katu","Veruda, Pula",3,104000,79.77,1968,2,1
"1268","http://www.remax-svijetnekretnina.com/apartman/istra-banjole-apartman-s-pogledom-na-more1","Banjole, Medulin",3,170000,66,2018,2,2
"1300","http://www.remax-svijetnekretnina.com/apartman/istra-istocna-obala-duga-uvala-apartman-sa-pogledom-na-more-i-vrtom","Duga Uvala, Marčana",2,120000,72.73,2000,1,1
"1303","http://www.remax-svijetnekretnina.com/stan/ureden-stan-u-porecu-67-blizu-mora","Poreč",3,135000,67.09,1987,1,1
"1310","http://www.remax-svijetnekretnina.com/stan/istra-pula-centar-stan-od-76--u-potkrovlju-na-4katu","Centar, Pula",3,75000,76.28,1988,2,1
"1362","http://www.remax-svijetnekretnina.com/stan/jednosoban-stan-100m-od-mora","Vrsar",2,207500,44.35,2013,1,1
"1364","http://www.remax-svijetnekretnina.com/stan/stan-42-100m-od-mora","Vrsar",2,132000,43.47,2014,1,1
"1365","http://www.remax-svijetnekretnina.com/stan/stan-100m-od-mora","Vrsar",4,262000,80,2014,2,1
"1382","http://www.remax-svijetnekretnina.com/stan/umag-predgrade-prostran-stan-sa-galerijom","Kmeti, Umag",4,157850,101.43,2015,3,1
"1384","http://www.remax-svijetnekretnina.com/stan/prilika-stan-na-mirnoj-lokaciji-u-blizini-mora","Lovrečica, Umag",3,135000,78,2005,2,1
"1386","http://www.remax-svijetnekretnina.com/stan/stan-u-starom-dijelu-funtane","Funtana, Vrsar",2,86000,37.85,1900,1,1
"1388","http://www.remax-svijetnekretnina.com/stan/umag-suncan-stan-sa-galerijom-u-mirnom-okolisu","Kmeti, Umag",3,133500,83.01,2015,2,1
"1390","http://www.remax-svijetnekretnina.com/stan/umag-stan-u-malom-mjestu-u-neposrednoj-blizini-umaga","Kmeti, Umag",2,95060,55.53,2015,1,1
"1394","http://www.remax-svijetnekretnina.com/stan/stan-vrsar-6417-","Vrsar",3,140000,64.17,1980,2,1
"1400","http://www.remax-svijetnekretnina.com/stan/novigrad-stan-sa-panoramskim-pogledom","Novigrad",3,166000,63.1,2009,2,1
"1408","http://www.remax-svijetnekretnina.com/stan/stan-na-atraktivnoj-lokaciji-zambratija","Zambratija, Umag",2,98000,45.35,2008,1,1
"1416","http://www.remax-svijetnekretnina.com/stan/pulastoja-komforan-stan-4ss-s-predivnim-pogledom-na-50m-od-mora","Stoja, Pula",6,425000,151.89,2018,4,4
"1460","http://www.remax-svijetnekretnina.com/stan/stan-umag-300m-od-mora-sa-dvije-spavace-sobe","Umag",3,120000,65.81,1986,2,1
"1466","http://www.remax-svijetnekretnina.com/stan/istrapula-okolica-sisan-stan-u-dvojnoj-kuci","Šišan, Ližnjan",4,135000,83.76,2008,3,2
"1468","http://www.remax-svijetnekretnina.com/stan/pulastan-100m-od-mora","Stoja, Pula",4,460000,165.34,2018,3,2
"1511","http://www.remax-svijetnekretnina.com/stan/vrsar-stan","Vrsar",2,84900,46,1996,1,1
"1513","http://www.remax-svijetnekretnina.com/stan/stan-u-zgradi-predgrade-novigrada","Novigrad",4,228416,138,2012,3,3
"1514","http://www.remax-svijetnekretnina.com/stan/vrsar-stan-sa-3-spavace-sobe-350m-od-mora","Vrsar",4,195000,90,1976,3,2
"1521","http://www.remax-svijetnekretnina.com/stan/stan-u-starom-dijelu-rovinja","Rovinj",3,210000,58,1900,2,1
"1522","http://www.remax-svijetnekretnina.com/stan/stan-2km-od-grada-i-500m-od-mora","Babići, Umag",3,95000,65.32,2013,2,1
"1527","http://www.remax-svijetnekretnina.com/stan/prodaje-se-stan-u-novigradu","Novigrad",4,233590,144,2012,3,3
"1536","http://www.remax-svijetnekretnina.com/stan/stan-karigador-prodaja","Karigador, Brtonigla",3,110000,59.95,2003,2,1
